description,category,service_id,service_name
العربية بتاعتي، في دخان أبيض بيطلع من الشكمان,exhaust,12,إصلاح نظام العادم
محتاج مساعدة، في زيت على المحرك من الجانب,oil_leak,2,إصلاح تسريب الزيت
عندي مشكلة: العربية بترجرج لما اهدى,alignment_balancing,5,ضبط الزوايا والتوازن
محتاج مساعدة، عايز أعمل ديتيلينج,cleaning,16,تنظيف وتلميع السيارة
العربية بتطفى مني وأنا بسوق، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، في رعشة على الأوتوستراد,alignment_balancing,5,ضبط الزوايا والتوازن
محتاج مساعدة، الزيت اتوسخ ومحتاج تغيير,oil_change,1,تغيير زيت المحرك
بتهز بعد سرعة 90,alignment_balancing,5,ضبط الزوايا والتوازن
عندي مشكلة: محتاج أبدل البطارية,battery,15,إصلاح البطارية
الدركسيون بيتهز في ايدي,alignment_balancing,5,ضبط الزوايا والتوازن
العربية بتاعتي، شايف زيت على إسفلت الجراج,oil_leak,2,إصلاح تسريب الزيت
العربية بتطلع ريحة بنزين، ممكن تساعدني؟,exhaust,12,إصلاح نظام العادم
العربية بتاعتي، العربية بتطن وانا ماشي,tires,4,تغيير إطارات
العربيه بتبطل وهي شغاله,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، في طقطقة خفيفة في العربية,suspension,6,إصلاح نظام التعليق
الموتور بيبطل لما اهدي,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: العربية بتتهز لما امشي على طريق وعر,suspension,6,إصلاح نظام التعليق
بترعش لما فرملت,brakes,3,إصلاح الفرامل
عندي مشكلة: العربية مش ثابتة على الطريق السريع,alignment_balancing,5,ضبط الزوايا والتوازن
عندي مشكلة: العربية بتتحرك ببطء أول ما امشي,engine,11,فحص المحرك الإلكتروني
ريحة سلوك محروقة من العربية,electrical,14,إصلاح الكهرباء
محتاج مساعدة، زنة مستمرة مع المشي,tires,4,تغيير إطارات
عندي مشكلة: الموتور صوته بيعلى في المطلع,engine,11,فحص المحرك الإلكتروني
الفرامل بتصفر لما بدوسها، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
العربية بتاعتي، البطارية ضعيفة,battery,15,إصلاح البطارية
عندي مشكلة: في قصر في الكهرباء,electrical,14,إصلاح الكهرباء
عندي مشكلة: العربية بتتهز بعد الثمانين,alignment_balancing,5,ضبط الزوايا والتوازن
العربية بتاعتي، العربية بتتحرك كويس لكن صوتها بقى أعلى شوية,engine,11,فحص المحرك الإلكتروني
العربية سحبها ضعيف رغم اني دايس بنزين,engine,11,فحص المحرك الإلكتروني
بتتهز الفرملة,brakes,3,إصلاح الفرامل
عندي مشكلة: الموتور بيتهز في الأول لما اشغله,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، الموكيت محتاج غسيل,cleaning,16,تنظيف وتلميع السيارة
العربية بتطفى فجأة من غير سبب,engine,11,فحص المحرك الإلكتروني
العربية مش بتجمع خالص لما ادوس بنزين، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
العربيه بتهز على الطريق السريع، ممكن تساعدني؟,alignment_balancing,5,ضبط الزوايا والتوازن
في دخان من تحت الكبوت,engine,11,فحص المحرك الإلكتروني
في صوت مش طبيعي من الموتور لما امشي ببطء,engine,11,فحص المحرك الإلكتروني
العربيه بترج وانا بفرمل,brakes,3,إصلاح الفرامل
العربية بتاعتي، الشكمان بيعمل صوت زعيق,exhaust,12,إصلاح نظام العادم
عندي مشكلة: العربية بتتوقف لما اهدى,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، الفتيس الأتوماتيك بيتأخر في النقل,transmission,8,إصلاح ناقل الحركة
عندي مشكلة: الحراره بتعلى في العربيه,cooling,10,إصلاح نظام التبريد
العربية صوتها بقى مختلف، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، محتاج أدور على بنشر,tires,4,تغيير إطارات
الكاوتش اتفش اوي، ممكن تساعدني؟,tires,4,تغيير إطارات
العربية بترج على السرعة العالية,alignment_balancing,5,ضبط الزوايا والتوازن
محتاج مساعدة، العربيه صوتها بيعلى لما اطلع مطلع,engine,11,فحص المحرك الإلكتروني
العربية مخنوقة ومش بتسحب,engine,11,فحص المحرك الإلكتروني
في هزة بفرمل,brakes,3,إصلاح الفرامل
محتاج مساعدة، العربية بتتهز الصبح لما تشتغل وهي باردة,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، لقيت آثار زيت على الطريق ورا العربية,oil_leak,2,إصلاح تسريب الزيت
محتاج مساعدة، الشباك الكهربائي مش بينزل,electrical,14,إصلاح الكهرباء
عندي مشكلة: في رج لما بدوس الفرامل,brakes,3,إصلاح الفرامل
العربية بتدبدب على طريق وعر,suspension,6,إصلاح نظام التعليق
عندي مشكلة: العربيه مبتقوموش,starting,13,إصلاح مشاكل التشغيل
الموتور بيفصل لحظة وبعدين يرجع,engine,11,فحص المحرك الإلكتروني
الموتور بيتعب في المطلع، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
الموتور بيقفل لما اقف على النور الأحمر، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، في دخان أزرق من الشكمان,exhaust,12,إصلاح نظام العادم
محتاج مساعدة، الفرامل بتعمل رجة لما بدوسها,brakes,3,إصلاح الفرامل
محتاج مساعدة، العربية مبتشتغلش,starting,13,إصلاح مشاكل التشغيل
التكييف مبردش زي الأول، ممكن تساعدني؟,ac,9,فحص وإصلاح المكيف
عندي مشكلة: عايز أعمل تغيير زيت وفلتر,oil_change,1,تغيير زيت المحرك
العربية بتاعتي، في تقطيع في الكهرباء,electrical,14,إصلاح الكهرباء
العربيه سحبها ضعيف وانا دايس بنزين,engine,11,فحص المحرك الإلكتروني
في دخان غامق من الشكمان لما اجري,exhaust,12,إصلاح نظام العادم
العربية بتاعتي، الفرامل مش ماسكة كويس,brakes,3,إصلاح الفرامل
العربية بتبطل وهي شغالة,engine,11,فحص المحرك الإلكتروني
بترعش وانا دايس فرامل,brakes,3,إصلاح الفرامل
السحب بتاعها وحش حتى لو دايس بنزين,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، الموتور بيعمل صوت غريب لما امشي ببطء,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: الزيت بتاعي اسود خالص,oil_change,1,تغيير زيت المحرك
عندي مشكلة: العربية بترج الفرملة,brakes,3,إصلاح الفرامل
عندي مشكلة: في زنة مع كل سرعة,tires,4,تغيير إطارات
العربية بتاعتي، الفتيس بينقل متأخر,transmission,8,إصلاح ناقل الحركة
عندي مشكلة: في دخان أسود طالع من الشكمان,exhaust,12,إصلاح نظام العادم
العربية بتاعتي، العربية بترعش وهي واقفة ودايس فرامل,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: الموتور مش بيسحب,engine,11,فحص المحرك الإلكتروني
في اهتزاز في العربية لما بفرمل,brakes,3,إصلاح الفرامل
العربية بترج في طريق مكسر,suspension,6,إصلاح نظام التعليق
بحس العربية بتشد شمال لو سيبت الدركسيون,alignment_balancing,5,ضبط الزوايا والتوازن
في مشكلة في نقل الجيرات، ممكن تساعدني؟,transmission,8,إصلاح ناقل الحركة
محتاج مساعدة، العربيه مش ثابته في الملفات,alignment_balancing,5,ضبط الزوايا والتوازن
عندي مشكلة: العربية حاسسها تقيلة,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، في زيت على التربة تحت العربية,oil_leak,2,إصلاح تسريب الزيت
عندي مشكلة: بتهز دايس فرامل,brakes,3,إصلاح الفرامل
العربية ساعات بتبطل لوحدها، ممكن تساعدني؟,starting,13,إصلاح مشاكل التشغيل
عندي مشكلة: في طنين في العربيه,tires,4,تغيير إطارات
في ريحة بنزين واضحة من الشكمان، ممكن تساعدني؟,exhaust,12,إصلاح نظام العادم
في رج في الموتور وأنا واقف على الإشارة، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، العربية مش بتقوم من أول مرة,starting,13,إصلاح مشاكل التشغيل
عندي مشكلة: العربية في رج الفرملة,brakes,3,إصلاح الفرامل
العربية بتفصل لوحدها وأنا واقف، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، العربية بتهز لما اعدي 80,alignment_balancing,5,ضبط الزوايا والتوازن
مش عارف أقول إيه,unknown,17,غير ذلك
الزيت بيطلع من تحت العربية وأنا ماشي، ممكن تساعدني؟,oil_leak,2,إصلاح تسريب الزيت
العربية بتحسها بتكركب,engine,11,فحص المحرك الإلكتروني
العربية بترعش لما اقف على الإشارة، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: العربية صعبة الإقلاع,starting,13,إصلاح مشاكل التشغيل
محتاج مساعدة، العربية بتتهز لما امشي على طريق وعر,suspension,6,إصلاح نظام التعليق
بتنهج المطلع,engine,11,فحص المحرك الإلكتروني
العربيه في هزه وانا بفرمل,brakes,3,إصلاح الفرامل
عندي مشكلة: الفتيس تقيل,transmission,8,إصلاح ناقل الحركة
العربية بتاعتي، البطاريه مبتشحنش,battery,15,إصلاح البطارية
العربية بتاعتي، ريحة وحشة في العربية,cleaning,16,تنظيف وتلميع السيارة
التكييف مش بيبرد، ممكن تساعدني؟,ac,9,فحص وإصلاح المكيف
العربية بتاعتي، الفتيس بيعمل نتش لما انقل,transmission,8,إصلاح ناقل الحركة
محتاج مساعدة، الفتيس بينقل متأخر,transmission,8,إصلاح ناقل الحركة
الموتور بيرج في الأول لما يشتغل، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
العربية في رج وانا لما فرملت، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
بتحس إن العربية تقيلة وهي ماشية,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، التكييف بيشتغل بس مش بارد,ac,9,فحص وإصلاح المكيف
العربيه بتعمل طقطقه لما اعدي مطب,suspension,6,إصلاح نظام التعليق
عندي مشكلة: الحركة مش ناعمة,engine,11,فحص المحرك الإلكتروني
العربيه بتطلع ريحه غريبه,exhaust,12,إصلاح نظام العادم
عندي مشكلة: الأنوار مش شغالة,electrical,14,إصلاح الكهرباء
العربية في هزة لما فرملت، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
العربيه مش بتقوم، ممكن تساعدني؟,starting,13,إصلاح مشاكل التشغيل
العربيه بتتهز وانا بفرمل,brakes,3,إصلاح الفرامل
محتاج مساعدة، محتاج إطارات جديدة,tires,4,تغيير إطارات
عندي مشكلة: الموتور سخن اوي,cooling,10,إصلاح نظام التبريد
في خبط خفيف في العجلة لما امشي، ممكن تساعدني؟,tires,4,تغيير إطارات
عندي مشكلة: في زيت نازل من الموتور,oil_leak,2,إصلاح تسريب الزيت
عندي مشكلة: الشكمان بيعمل صوت زعيق,exhaust,12,إصلاح نظام العادم
العربية بتاعتي، العربية بتحسها بتمشي بتقل,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: العربية بتدبدب,suspension,6,إصلاح نظام التعليق
عندي مشكلة: العربية مش بتجري زي الأول,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، في صوت طق خفيف,suspension,6,إصلاح نظام التعليق
عندي مشكلة: العربية مش بتشتغل خالص,starting,13,إصلاح مشاكل التشغيل
الموتور بيبطل لما اهدى، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، في رعشة في الموتور وأنا واقف,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، الموتور سخن,cooling,10,إصلاح نظام التبريد
البطاريه وقعت,battery,15,إصلاح البطارية
عندي مشكلة: الزيت بيطلع من تحت العربية وأنا ماشي,oil_leak,2,إصلاح تسريب الزيت
العربية بترتعش الفرملة,brakes,3,إصلاح الفرامل
العربيه بتسخن مني، ممكن تساعدني؟,cooling,10,إصلاح نظام التبريد
العربية بتفصل وبتشتغل من غير سبب,engine,11,فحص المحرك الإلكتروني
لما افرمل فجاه في رجه، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
محتاج مساعدة، الزيت بتاع العربية خلص,oil_change,1,تغيير زيت المحرك
محتاج مساعدة، الموتور بيرعش لما اشغله وهو بارد,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: نور الـ low beam ضعيف,electrical,14,إصلاح الكهرباء
عندي مشكلة: البطارية مش بتشحن,battery,15,إصلاح البطارية
العربية بتاعتي، في فرفرة في العربية,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، العربيه بترج لما ازود السرعه,alignment_balancing,5,ضبط الزوايا والتوازن
عندي مشكلة: النور الداخلي مش شغال,electrical,14,إصلاح الكهرباء
كل حاجة تمام بس صوت الموتور بقى مختلف، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
في delay لما ادوس بنزين، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
الموتور بيدور بالعافيه، ممكن تساعدني؟,starting,13,إصلاح مشاكل التشغيل
العربية بتاعتي، في صفارة من الفرامل,brakes,3,إصلاح الفرامل
الفرامل مش ماسكة كويس,brakes,3,إصلاح الفرامل
العربية بتقفز على المطبات، ممكن تساعدني؟,suspension,6,إصلاح نظام التعليق
محتاج مساعدة، في مسمار في الكاوتش,tires,4,تغيير إطارات
عندي مشكلة: البطارية مش بتديني قوة كافية,battery,15,إصلاح البطارية
محتاج مساعدة، الداخل ريحته وحشة,cleaning,16,تنظيف وتلميع السيارة
عندي مشكلة: العربية بتتمرجح في الملفات,suspension,6,إصلاح نظام التعليق
في رج لما بدوس فرامل، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
ريحه احتراق من العربيه، ممكن تساعدني؟,exhaust,12,إصلاح نظام العادم
العربية بتتهز وانا دايس فرامل,brakes,3,إصلاح الفرامل
عندي مشكلة: في رعشة شايل فرامل,brakes,3,إصلاح الفرامل
العربية مبتفرملش، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
الموتور بيوقف لوحده وأنا بسوق، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، العربية بترج خفيف في الطلعة,engine,11,فحص المحرك الإلكتروني
الموتور مبيدورش,starting,13,إصلاح مشاكل التشغيل
العربية بتاعتي، التكييف واقف,ac,9,فحص وإصلاح المكيف
عندي مشكلة: في زيت بينزل تحت العربية,oil_leak,2,إصلاح تسريب الزيت
عندي مشكلة: العربية بتتمرجح,suspension,6,إصلاح نظام التعليق
العربية بتاعتي، العربية بتعمل زنة مستمرة,tires,4,تغيير إطارات
محتاج مساعدة، العربية بترعش وهي لسه باردة,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: الأبواب مش بتتقفل كهربا,electrical,14,إصلاح الكهرباء
الفريون بتاع المكيف ناقص، ممكن تساعدني؟,ac,9,فحص وإصلاح المكيف
المكيف بيطلع هوا بايخ، ممكن تساعدني؟,ac,9,فحص وإصلاح المكيف
عندي مشكلة: العربية بتتأخر في الدوارة الصبح,starting,13,إصلاح مشاكل التشغيل
محتاج مساعدة، الكاوتش بالي,tires,4,تغيير إطارات
محتاج مساعدة، العربيه بتطفى مني وانا ماشي,engine,11,فحص المحرك الإلكتروني
في تقطيع في الموتور لما ادوس بنزين,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، في ريحه حاجه محروقه طالعه,exhaust,12,إصلاح نظام العادم
في خبط خفيف في العجله,tires,4,تغيير إطارات
الدركسيون بيتهز على السرعة، ممكن تساعدني؟,alignment_balancing,5,ضبط الزوايا والتوازن
محتاج مساعدة، العربيه صوتها بقى مختلف,engine,11,فحص المحرك الإلكتروني
لما اهدي السرعه العربيه بتوقف,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، الفتيس مش بينقل صح,transmission,8,إصلاح ناقل الحركة
العربيه بتهز علي الطريق السريع,alignment_balancing,5,ضبط الزوايا والتوازن
عندي مشكلة: الفتيس بيعمل طقة لما انقل,transmission,8,إصلاح ناقل الحركة
العربية مش بتقوم من أول مرة,starting,13,إصلاح مشاكل التشغيل
العربية بتاعتي، العربية ساعات بتتأخر في الدوارة الصبح,engine,11,فحص المحرك الإلكتروني
في ريحه محروقه من العربيه,exhaust,12,إصلاح نظام العادم
العربية بتهز في شارع مكسر,suspension,6,إصلاح نظام التعليق
العربية بتاعتي، لما بفرمل العربية بترج,brakes,3,إصلاح الفرامل
العربية بتاعتي، الداخل محتاج تنظيف,cleaning,16,تنظيف وتلميع السيارة
الفريون بتاع المكيف ناقص,ac,9,فحص وإصلاح المكيف
محتاج مساعدة، الموتور بيهز العربية,engine,11,فحص المحرك الإلكتروني
في رعشة في الموتور أول ما اشغل العربية,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: لما بفرمل العربية بترج,brakes,3,إصلاح الفرامل
عندي مشكلة: التهبيد جامد من الأمام,suspension,6,إصلاح نظام التعليق
محتاج مساعدة، كل حاجة تمام بس صوت الموتور بقى مختلف,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، في رعشة لما العربية تقف على الإشارة,brakes,3,إصلاح الفرامل
محتاج مساعدة، في ريحه غريبه من العربيه,exhaust,12,إصلاح نظام العادم
العربية بتاعتي، الجيرة مش بتدخل,transmission,8,إصلاح ناقل الحركة
المكيف محتاج شحن، ممكن تساعدني؟,ac,9,فحص وإصلاح المكيف
على السرعات العالية في رعشة في العربية، ممكن تساعدني؟,alignment_balancing,5,ضبط الزوايا والتوازن
العربية بتطفى مني وأنا بسوق على الطريق، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
العربية بتتهز في الأول لما تشتغل,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، في تردد في الفتيس لما ينقل,transmission,8,إصلاح ناقل الحركة
العربية مش ماسكة الطريق على المطبات، ممكن تساعدني؟,suspension,6,إصلاح نظام التعليق
العربية بتاعتي، الأداء بيقل مع السخونة,cooling,10,إصلاح نظام التبريد
التكيف بيطلع هوا بس مش ساقع، ممكن تساعدني؟,ac,9,فحص وإصلاح المكيف
العربيه بترج في طريق مكسر,suspension,6,إصلاح نظام التعليق
محتاج مساعدة، العربية مش عايزة تشد,engine,11,فحص المحرك الإلكتروني
في اهتزاز لما بدوس الفرامل,brakes,3,إصلاح الفرامل
الموتور بيفصل لوحده وأنا بسوق,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، العربية بتعمل صوت مزعج,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، مية الموتور بتتسرب,cooling,10,إصلاح نظام التبريد
العربية محتاجة جلي,cleaning,16,تنظيف وتلميع السيارة
محتاج مساعدة، العربيه بتطط على المطبات,suspension,6,إصلاح نظام التعليق
عندي مشكلة: الفرامل مش شايله,brakes,3,إصلاح الفرامل
محتاج مساعدة، العربيه بتطفى مني فجأه في الزحمه,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، الأتوماتيك مش بيشتغل صح,transmission,8,إصلاح ناقل الحركة
العربية بتاعتي، العربيه فيها تزييق,steering,7,إصلاح نظام التوجيه
عندي مشكلة: الزيت بيتسرب من الموتور,oil_leak,2,إصلاح تسريب الزيت
عندي مشكلة: العربية بتاخد وقت قبل ما تشتغل,starting,13,إصلاح مشاكل التشغيل
العربية بتاعتي، العربية صوتها بيعلى لما اطلع مطلع,engine,11,فحص المحرك الإلكتروني
العربية بترعش وهي واقفة، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، الفرامل بتعمل صوت زعيق,brakes,3,إصلاح الفرامل
العربية بترج دايس فرامل، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
العربية مش بتمشي بسرعة رغم إني دايس بنزين، ممكن تساعدني؟,transmission,8,إصلاح ناقل الحركة
العربيه بترج وانا الفرمله,brakes,3,إصلاح الفرامل
العربية بتهز بعد الثمانين,alignment_balancing,5,ضبط الزوايا والتوازن
عندي مشكلة: المقاعد فيها بقع,cleaning,16,تنظيف وتلميع السيارة
العربية بتاعتي، في تقطيع لما ادوس البنزين فجأة,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، لما افرمل فجاه في رجه,brakes,3,إصلاح الفرامل
العربية بتاعتي، لما الموتور يسخن العربية بتتعب,cooling,10,إصلاح نظام التبريد
العربية بتاعتي، محتاج أغير زيت المحرك,oil_change,1,تغيير زيت المحرك
المقود بيرعش وانا ماشي، ممكن تساعدني؟,alignment_balancing,5,ضبط الزوايا والتوازن
العربية بتاعتي، العربيه مش ماسكه الطريق,suspension,6,إصلاح نظام التعليق
محتاج مساعدة، في صوت حديد بيخبط تحت العربية,suspension,6,إصلاح نظام التعليق
العربية بتدبدب على حفر,suspension,6,إصلاح نظام التعليق
محتاج مساعدة، في اهتزاز بسيط بيظهر فجاه,engine,11,فحص المحرك الإلكتروني
العربيه بتطق على المطبات,suspension,6,إصلاح نظام التعليق
العربية بتاعتي، في رعشة بتحصل لما العربية تقف على الإشارة,brakes,3,إصلاح الفرامل
البريك مش ماسك، ممكن تساعدني؟,brakes,3,إصلاح الفرامل
عندي مشكلة: في صوت زن مستمر من العربية,tires,4,تغيير إطارات
عندي مشكلة: لما ادوس بنزين في تأخير,engine,11,فحص المحرك الإلكتروني
العربية بتحسها ثقيلة في المشي، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، الجيرات مش بتتغير بسهولة,transmission,8,إصلاح ناقل الحركة
عندي مشكلة: الشبابيك الكهربائية مش بتتحرك,electrical,14,إصلاح الكهرباء
العربيه فيها تزييق، ممكن تساعدني؟,steering,7,إصلاح نظام التوجيه
محتاج مساعدة، الموتور بيسخن أوي,cooling,10,إصلاح نظام التبريد
عندي مشكلة: في صوت غريب على سرعة قليلة,engine,11,فحص المحرك الإلكتروني
العربية بتكتم لما اطلع مطلع,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: بيدال الفرامل واطي,brakes,3,إصلاح الفرامل
الزيت اتوسخ ومحتاج تغيير، ممكن تساعدني؟,oil_change,1,تغيير زيت المحرك
عندي مشكلة: العربيه مش بتشتغل,starting,13,إصلاح مشاكل التشغيل
العربيه بتتهز بفرمل,brakes,3,إصلاح الفرامل
عندي مشكلة: الدركسيون بيزيق,steering,7,إصلاح نظام التوجيه
الفتيس بيعمل نتش لما انقل الجيره، ممكن تساعدني؟,transmission,8,إصلاح ناقل الحركة
محتاج مساعدة، العربية بتتوقف فجأة وبعدين تكمل,engine,11,فحص المحرك الإلكتروني
بترزع مطب,suspension,6,إصلاح نظام التعليق
شرحلي,unknown,17,غير ذلك
العربية بتطن وانا ماشي,tires,4,تغيير إطارات
عندي مشكلة: العربية كانت بتسخن وبعدين وقفت,cooling,10,إصلاح نظام التبريد
العربية بتاعتي، العربية بتفرفر لما ادوس بنزين,engine,11,فحص المحرك الإلكتروني
محتاج مساعدة، العربية مش مرتاحة في السحب,engine,11,فحص المحرك الإلكتروني
لمبة الزيت ولعت، ممكن تساعدني؟,oil_change,1,تغيير زيت المحرك
الدركسيون بقى فيه رعشة، ممكن تساعدني؟,steering,7,إصلاح نظام التوجيه
عندي مشكلة: الموتور بيهتز اول ما اشغله,engine,11,فحص المحرك الإلكتروني
العربية بترج لما اشغلها، ممكن تساعدني؟,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: العربيه بتنتش لما انقل الغيار,transmission,8,إصلاح ناقل الحركة
محتاج مساعدة، في صوت عالي من الموتور لما بمشي ببطء,engine,11,فحص المحرك الإلكتروني
العربية بتاعتي، الزيت بيترشح من الموتور,oil_leak,2,إصلاح تسريب الزيت
عندي مشكلة: العربية صوتها مزعج,engine,11,فحص المحرك الإلكتروني
عندي مشكلة: دايس بنزين كامل والعربية مش بتشد,engine,11,فحص المحرك الإلكتروني
العربية مش ناعمة,engine,11,فحص المحرك الإلكتروني
في صفير لما ادوس فرامل,brakes,3,إصلاح الفرامل
العربية بتاعتي، العربيه بترج وانا دايس فرامل,brakes,3,إصلاح الفرامل
العربية بتاعتي، نور الـ low beam ضعيف,electrical,14,إصلاح الكهرباء
محتاج مساعدة، البريك مش شغال صح,brakes,3,إصلاح الفرامل
